1.842231941280000210e+08 1.131874899213057861e+11 9.600266336658631897e+10 -1.064848220489203930e+06 -1.801177378334687455e+04 2.046720029219496791e+04 -2.608752266416730095e+02
1.978743941280000210e+08 -3.377061597793917465e+10 -1.032007569913307495e+11 5.448186712347594500e+08 3.437788083886571258e+04 -1.474613184268058467e+04 3.203163525371388118e+02
1.842231941280000210e+08 1.131874899213057861e+11 9.600266336658631897e+10 -1.064848220489203930e+06 -1.801177378334687455e+04 2.046720029219496791e+04 -2.608752266416730095e+02
1.978743941280000210e+08 -2.642497398532773959e+31 1.321248699266358517e+32 2.819266023337136185e+30 -1.935725356403067420e+24 9.678626782015335489e+24 2.065214796748389739e+23
1.842267941280000210e+08 1.131226177678579407e+11 9.607632002806372070e+10 -2.003998673948407173e+06 -1.802830998545883267e+04 2.045316531631080579e+04 -2.608750024043770850e+02
1.978707941280000210e+08 -1.078995485891247314e+12 1.415593378597247559e+12 1.304804169501924744e+11 -8.695172208129733917e+04 9.546659868708801514e+04 9.471228839144003359e+03
1.845579941280000210e+08 1.069039805962490540e+11 1.026312602996441498e+11 -8.833709453656393290e+07 -1.951098922259026585e+04 1.911408590160954918e+04 -2.602657790368770065e+02
1.977375941280000210e+08 -4.494784640684224701e+10 -9.996359732073356628e+10 4.440715767410696745e+08 3.273726606094066301e+04 -1.770681728732051488e+04 3.128864720536591335e+02
1.845579941280000210e+08 1.069039805962490540e+11 1.026312602996441498e+11 -8.833709453656393290e+07 -1.951098922259026585e+04 1.911408590160954918e+04 -2.602657790368770065e+02
1.858791941280000210e+08 7.753591356974873352e+10 1.240089670535857849e+11 -4.131975593218942881e+08 -2.467109535639522073e+04 1.296247749200946782e+04 -2.342510724890113352e+02
1.898298341280000210e+08 -3.402981577000469971e+10 1.264868790065301056e+11 -1.134218619257087469e+09 -2.846987138692779990e+04 -1.306924808244551059e+04 -8.063711957685863752e+01
1.911510341280000210e+08 -6.910932239468348694e+10 1.027141833110491638e+11 -1.177368895880541563e+09 -2.401008870944916634e+04 -2.285692594202141845e+04 1.876116579007375051e+01
1.977375941280000210e+08 -3.842757378882453156e+10 -1.009664057712852631e+11 5.090109035182949305e+08 3.397593915686340188e+04 -1.617459632761514513e+04 3.497274652874959884e+02
1.978743941280000210e+08 -3.843909659325866699e+10 -1.010836516098258057e+11 5.004831354215379953e+08 3.087665680916807469e+04 -1.232624982612421445e+04 2.814180066474248179e+02
