arc_split,best_avg_thrust,best_p1_deviation,p1,p2
0.25,3.891265706689319e+20,5.878075386320417e+21,"[-3.4504818056887114e+20, -5.1852846657058007e+20, -4.6648292693294206e+20]","[-9.098560717323229e+16, -475482413831757.7, 393449275.65839964]"
0.75,3.892177373886949e+20,5.878075386320417e+21,"[-3.4504818056887114e+20, -5.1852846657058007e+20, -4.6648292693294206e+20]","[-2.7329698401489117e+17, -3569168601494966.0, -9449918491.830929]"
